player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Christensen,DF,Denmark,26-245,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,5,4.89,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,3,2.05,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,6,1.57,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Andries Noppert,GK,Netherlands,28-248,1994,5.3,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrija Živković,DF,Serbia,26-153,1996,2.3,7,3.00,6,0,0,1,0,0,2,0.86,2,0,0,0,0,0
André Ayew,MF,Ghana,32-359,1989,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Onana,GK,Cameroon,26-253,1996,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Silva,FW,Portugal,27-035,1995,0.3,3,10.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-074,1986,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,7,4.26,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ansu Fati,FW,Spain,20-041,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ante Budimir,FW,Croatia,31-142,1991,0.6,1,2.05,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antoine Griezmann,MF,France,31-265,1991,4.2,26,6.21,16,8,0,2,0,0,3,0.72,3,0,0,0,0,0
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antonee Robinson,DF,United States,25-125,1997,4.0,8,2.01,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,4,1.33,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Antony,FW,Brazil,22-290,2000,1.9,7,4.44,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0
António Silva,DF,Portugal,19-042,2003,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ao Tanaka,MF,Japan,24-092,1998,1.9,2,1.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Assim Madibo,MF,Qatar,26-050,1996,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,2,1.13,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,10,2.19,8,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Awer Mabil,MF,Australia,27-087,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Disasi,DF,France,24-275,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Witsel,MF,Belgium,33-333,1989,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayase Ueda,FW,Japan,24-092,1998,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aymeric Laporte,DF,Spain,28-198,1994,3.3,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aziz Behich,DF,Australia,31-360,1990,4.0,6,1.50,2,1,2,1,0,0,0,0.00,0,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,8,1.63,6,0,1,0,1,0,1,0.20,1,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,4,1.48,4,0,0,0,0,0,1,0.37,1,0,0,0,0,0
Baba Rahman,DF,Ghana,28-162,1994,2.0,5,2.46,5,0,0,0,0,0,1,0.49,1,0,0,0,0,0
Badr Banoun,DF,Morocco,29-072,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-136,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bamba Dieng,FW,Senegal,22-263,2000,1.1,4,3.60,1,0,0,0,3,0,0,0.00,0,0,0,0,0,0
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,1,0.26,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ben Davies,DF,Wales,29-231,1993,2.6,4,1.51,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Benjamin Pavard,DF,France,26-258,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bernardo Silva,MF,Portugal,28-123,1994,4.0,13,3.28,11,1,0,0,1,0,3,0.76,3,0,0,0,0,0
Borna Barišić,DF,Croatia,30-031,1992,1.3,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borna Sosa,DF,Croatia,24-324,1998,4.2,3,0.71,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Boualem Khoukhi,DF,Qatar,32-155,1990,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Boulaye Dia,FW,Senegal,26-025,1996,3.5,5,1.42,4,0,0,1,0,0,1,0.28,1,0,0,0,0,0
Brandon Aguilera,MF,Costa Rica,19-166,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Breel Embolo,FW,Switzerland,25-300,1997,3.6,6,1.67,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Brenden Aaronson,MF,United States,22-050,2000,1.2,3,2.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brennan Johnson,FW,Wales,21-202,2001,1.0,1,0.99,0,1,0,0,0,0,1,0.99,0,1,0,0,0,0
Bruno Fernandes,FW,Portugal,28-094,1994,4.0,15,3.79,9,6,0,0,0,0,4,1.01,3,1,0,0,0,0
Bruno Guimarães,MF,Brazil,25-025,1997,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Petković,FW,Croatia,28-086,1994,1.9,4,2.61,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Mbeumo,FW,Cameroon,23-126,1999,2.6,8,3.23,4,3,0,1,0,0,0,0.00,0,0,0,0,0,0
Bryan Oviedo,DF,Costa Rica,32-296,1990,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,37-115,1985,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bukayo Saka,FW,England,21-097,2001,3.2,9,2.80,5,0,0,0,4,0,1,0.31,0,0,0,0,1,0
Callum Wilson,FW,England,30-287,1992,0.5,4,7.50,4,0,0,0,0,0,1,1.87,1,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-345,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,27-236,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Martínez,DF,Costa Rica,23-256,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Soler,MF,Spain,25-343,1997,1.0,4,5.81,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Casemiro,MF,Brazil,30-291,1992,4.3,9,2.25,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Celso Borges,MF,Costa Rica,34-198,1988,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charles De Ketelaere,FW,Belgium,21-276,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-342,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-355,1989,0.8,2,2.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cho Guesung,FW,Korea Republic,24-320,1998,3.1,4,1.31,3,0,0,0,1,0,1,0.33,0,0,0,0,1,0
Cho Yumin,FW,Korea Republic,26-024,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-036,1997,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Bassogog,MF,Cameroon,27-054,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-300,1992,3.0,10,3.33,3,6,0,1,0,0,0,0.00,0,0,0,0,0,0
Christian Fassnacht,FW,Switzerland,29-030,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Nørgaard,MF,Denmark,28-276,1994,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-084,1998,3.5,14,4.00,9,3,2,0,0,0,2,0.57,2,0,0,0,0,0
Christopher Wooh,DF,Cameroon,21-084,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cody Gakpo,FW,Netherlands,23-218,1999,5.0,17,3.39,9,5,0,1,2,0,2,0.40,2,0,0,0,0,0
Collins Fai,DF,Cameroon,30-120,1992,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Connor Roberts,DF,Wales,27-079,1995,2.2,6,2.69,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Craig Goodwin,MF,Australia,30-360,1991,2.6,5,1.92,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Cristian Romero,DF,Argentina,24-228,1998,3.7,2,0.53,1,1,0,0,0,0,1,0.27,0,1,0,0,0,0
Cristiano Ronaldo,FW,Portugal,37-309,1985,3.2,10,3.10,8,0,0,1,1,0,2,0.62,1,0,0,0,1,0
Cyle Larin,FW,Canada,27-238,1995,1.5,5,3.28,4,0,1,0,0,0,1,0.66,1,0,0,0,0,0
César Azpilicueta,DF,Spain,33-105,1989,1.5,4,2.67,4,0,0,0,0,0,1,0.67,1,0,0,0,0,0
César Montes,DF,Mexico,25-290,1997,3.0,3,1.00,3,0,0,0,0,0,2,0.67,2,0,0,0,0,0
Daichi Kamada,FW,Japan,26-128,1996,3.6,7,1.96,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Daizen Maeda,FW,Japan,25-052,1997,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daley Blind,DF,Netherlands,32-277,1990,4.7,4,0.85,3,0,0,1,0,0,1,0.21,1,0,0,0,0,0
Damian Szymański,MF,Poland,27-178,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Alves,DF,Brazil,39-219,1983,1.3,4,3.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dani Carvajal,DF,Spain,30-334,1992,1.5,1,0.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Olmo,FW,Spain,24-218,1998,4.1,12,2.94,9,1,1,0,1,0,3,0.74,3,0,0,0,0,0
Daniel Amartey,DF,Ghana,27-355,1994,2.8,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Chacón,MF,Costa Rica,21-244,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel James,FW,Wales,25-031,1997,1.7,2,1.17,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Daniel Kyereh,MF,Ghana,26-278,1996,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo,DF,Brazil,31-149,1991,3.1,8,2.87,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo Pereira,DF,Portugal,31-093,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny Ward,GK,Wales,29-172,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darko Lazović,DF,Serbia,32-087,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-170,1999,2.7,8,3.00,7,0,0,0,1,0,1,0.37,1,0,0,0,0,0
David Raum,DF,Germany,24-233,1998,2.7,14,5.21,9,4,0,0,1,0,2,0.74,1,0,0,0,1,0
David Wotherspoon,MF,Canada,32-329,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davy Klaassen,MF,Netherlands,29-293,1993,2.1,7,3.32,7,0,0,0,0,0,2,0.95,2,0,0,0,0,0
Dayot Upamecano,DF,France,24-045,1998,4.0,13,3.25,12,0,0,1,0,0,3,0.75,3,0,0,0,0,0
DeAndre Yedlin,DF,United States,29-155,1993,0.4,2,5.45,2,0,0,0,0,0,1,2.73,1,0,0,0,0,0
Declan Rice,MF,England,23-331,1999,4.6,6,1.29,3,0,0,0,0,3,0,0.00,0,0,0,0,0,0
Dejan Lovren,DF,Croatia,33-159,1989,5.7,2,0.40,2,0,0,0,0,0,1,0.20,1,0,0,0,0,0
Denis Odoi,DF,Ghana,34-198,1988,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-021,1996,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Denzel Dumfries,DF,Netherlands,26-237,1996,5.3,5,1.00,5,0,0,0,0,0,2,0.40,2,0,0,0,0,0
Devis Epassy,GK,Cameroon,29-312,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diego Godín,DF,Uruguay,36-298,1986,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Costa,GK,Portugal,23-083,1999,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Dalot,DF,Portugal,23-268,1999,2.9,9,3.14,5,1,1,1,1,0,2,0.70,1,0,1,0,0,0
Djibril Sow,MF,Switzerland,25-308,1997,2.9,5,1.70,5,0,0,0,0,0,2,0.68,2,0,0,0,0,0
Djorkaeff Reasco,FW,Ecuador,23-327,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominik Livaković,GK,Croatia,27-336,1995,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dries Mertens,MF,Belgium,35-219,1987,0.8,5,5.92,3,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Dušan Tadić,MF,Serbia,34-021,1988,2.9,14,4.90,10,4,0,0,0,0,2,0.70,1,1,0,0,0,0
Dušan Vlahović,FW,Serbia,22-317,2000,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dylan Bronn,DF,Tunisia,27-175,1995,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eden Hazard,MF,Belgium,31-338,1991,1.4,5,3.63,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Ederson,GK,Brazil,29-116,1993,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-240,1996,1.6,3,1.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edinson Cavani,FW,Uruguay,35-300,1987,1.4,5,3.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edouard Mendy,GK,Senegal,30-285,1992,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edson Álvarez,MF,Mexico,25-048,1997,1.9,4,2.06,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eduardo Camavinga,DF,France,20-031,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ehsan Hajsafi,MF,IR Iran,32-289,1990,2.6,3,1.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ellyes Skhiri,MF,Tunisia,27-215,1995,3.0,5,1.67,4,0,0,1,0,0,1,0.33,1,0,0,0,0,0
Emiliano Martínez,GK,Argentina,30-100,1992,5.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enner Valencia,FW,Ecuador,33-037,1989,2.8,7,2.47,3,0,0,3,1,0,1,0.35,0,0,0,0,1,0
Enzo Ebosse,DF,Cameroon,23-275,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enzo Fernández,MF,Argentina,21-328,2001,3.9,11,3.06,9,0,2,0,0,0,3,0.83,2,0,1,0,0,0
Eray Cömert,DF,Switzerland,24-310,1998,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eric Dier,DF,England,28-330,1994,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-263,1989,2.8,5,1.78,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Erick Gutiérrez,MF,Mexico,27-179,1995,0.5,1,1.84,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Ethan Ampadu,MF,Wales,22-088,2000,2.8,4,1.41,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Everton Ribeiro,MF,Brazil,33-245,1989,0.4,2,5.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Exequiel Palacios,MF,Argentina,24-067,1998,0.4,3,8.18,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Fabian Frei,MF,Switzerland,33-337,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabian Rieder,FW,Switzerland,20-298,2002,0.8,1,1.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabian Schär,DF,Switzerland,30-356,1991,1.5,6,4.00,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fabinho,MF,Brazil,29-049,1993,1.0,4,4.00,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Facundo Pellistri,MF,Uruguay,20-356,2001,2.0,3,1.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Famara Diedhiou,FW,Senegal,29-361,1992,1.0,3,2.93,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Federico Valverde,MF,Uruguay,24-142,1998,3.0,14,4.67,9,3,1,1,0,0,0,0.00,0,0,0,0,0,0
Ferjani Sassi,MF,Tunisia,30-268,1992,0.5,3,5.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ferrán Torres,FW,Spain,22-285,2000,2.4,2,0.83,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0
Filip Kostić,DF,Serbia,30-040,1992,2.0,5,2.51,4,1,0,0,0,0,1,0.50,1,0,0,0,0,0
Filip Mladenović,DF,Serbia,31-118,1991,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Filip Đuričić,MF,Serbia,30-315,1992,0.2,2,12.86,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-211,2000,3.0,2,0.67,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Fodé Ballo-Touré,DF,Senegal,25-342,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fran Karačić,DF,Australia,26-213,1996,1.0,2,1.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francisco Calvo,DF,Costa Rica,30-156,1992,2.0,1,0.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Fred,MF,Brazil,29-281,1993,1.6,5,3.54,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Frenkie de Jong,MF,Netherlands,25-213,1997,5.3,9,1.82,8,0,0,1,0,0,2,0.40,2,0,0,0,0,0
Félix Torres Caicedo,DF,Ecuador,25-334,1997,3.0,2,0.67,0,0,0,1,0,1,1,0.33,0,0,0,1,0,0
Gabriel Jesus,FW,Brazil,25-252,1997,1.0,6,5.81,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
