player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Andreas Christensen,DF,Denmark,26-245,1996,3.0,4,2,1,3,0,2,2,100.0,0,7,5,2,4,8,9,0
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,0,0
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,2,1,0,0,2,0,1,0.0,1,2,0,2,0,2,0,0
Andries Noppert,GK,Netherlands,28-248,1994,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Andrija Živković,DF,Serbia,26-153,1996,2.3,5,3,2,2,1,2,3,66.7,1,5,0,5,3,8,3,0
André Ayew,MF,Ghana,32-359,1989,2.2,4,1,0,4,0,1,2,50.0,1,1,0,1,0,4,3,0
André Onana,GK,Cameroon,26-253,1996,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Silva,FW,Portugal,27-035,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-074,1986,0.5,4,2,0,4,0,2,3,66.7,1,0,0,0,0,4,1,0
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,3,1,2,1,0,0,0,,0,2,0,2,1,4,1,0
Ansu Fati,FW,Spain,20-041,2002,0.5,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Ante Budimir,FW,Croatia,31-142,1991,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,5,2,3,2,0,1,1,100.0,0,0,0,0,1,6,0,0
Antoine Griezmann,MF,France,31-265,1991,4.2,9,7,5,4,0,3,4,75.0,1,6,2,4,4,13,2,0
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonee Robinson,DF,United States,25-125,1997,4.0,5,4,5,0,0,3,7,42.9,4,3,0,3,7,12,8,0
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,2,1,1,1,0,0,0,,0,3,2,1,0,2,5,1
Antony,FW,Brazil,22-290,2000,1.9,3,0,2,0,1,1,2,50.0,1,3,0,3,1,4,1,0
António Silva,DF,Portugal,19-042,2003,1.0,1,1,0,1,0,1,2,50.0,1,2,1,1,1,2,1,0
Ao Tanaka,MF,Japan,24-092,1998,1.9,3,1,3,0,0,1,1,100.0,0,5,1,4,3,6,2,0
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0
Assim Madibo,MF,Qatar,26-050,1996,1.7,6,3,3,3,0,1,5,20.0,4,6,1,5,2,8,0,0
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,4,1,4,0,0,2,2,100.0,0,3,0,3,1,5,3,0
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,9,2,3,5,1,2,4,50.0,2,2,1,1,8,17,1,0
Awer Mabil,MF,Australia,27-087,1995,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Axel Disasi,DF,France,24-275,1998,1.0,3,2,1,2,0,0,2,0.0,2,0,0,0,3,6,4,0
Axel Witsel,MF,Belgium,33-333,1989,3.0,4,2,1,3,0,1,1,100.0,0,5,1,4,4,8,6,0
Ayase Ueda,FW,Japan,24-092,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,0
Aymeric Laporte,DF,Spain,28-198,1994,3.3,2,0,2,0,0,1,1,100.0,0,0,0,0,3,5,7,0
Aziz Behich,DF,Australia,31-360,1990,4.0,8,3,5,3,0,5,6,83.3,1,6,2,4,3,11,12,0
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,8,7,4,4,0,6,8,75.0,2,5,1,4,7,15,1,0
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,3,3,3,0,0,1,2,50.0,1,7,1,6,4,7,6,0
Baba Rahman,DF,Ghana,28-162,1994,2.0,5,3,1,2,2,3,3,100.0,0,1,0,1,1,6,3,1
Badr Banoun,DF,Morocco,29-072,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Bailey Wright,DF,Australia,30-136,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Bamba Dieng,FW,Senegal,22-263,2000,1.1,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,6,2,6,0,0,3,6,50.0,3,4,1,3,2,8,17,0
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
Ben Davies,DF,Wales,29-231,1993,2.6,4,2,0,2,2,2,2,100.0,0,4,2,2,1,5,8,1
Benjamin Pavard,DF,France,26-258,1996,1.0,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0
Bernardo Silva,MF,Portugal,28-123,1994,4.0,2,2,0,2,0,1,1,100.0,0,3,0,3,2,4,0,0
Borna Barišić,DF,Croatia,30-031,1992,1.3,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,4,0
Borna Sosa,DF,Croatia,24-324,1998,4.2,12,5,9,1,2,9,11,81.8,2,3,0,3,2,14,17,0
Boualem Khoukhi,DF,Qatar,32-155,1990,3.0,2,2,2,0,0,1,2,50.0,1,6,2,4,3,5,18,1
Boulaye Dia,FW,Senegal,26-025,1996,3.5,1,0,0,1,0,0,0,,0,1,0,1,1,2,3,0
Brandon Aguilera,MF,Costa Rica,19-166,2003,1.0,2,0,2,0,0,2,4,50.0,2,1,0,1,1,3,0,0
Breel Embolo,FW,Switzerland,25-300,1997,3.6,1,0,0,0,1,1,2,50.0,1,2,0,2,0,1,1,0
Brenden Aaronson,MF,United States,22-050,2000,1.2,3,2,1,1,1,0,0,,0,5,0,5,1,4,0,0
Brennan Johnson,FW,Wales,21-202,2001,1.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
Bruno Fernandes,FW,Portugal,28-094,1994,4.0,4,3,3,1,0,0,3,0.0,3,7,1,6,2,6,4,0
Bruno Guimarães,MF,Brazil,25-025,1997,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Bruno Petković,FW,Croatia,28-086,1994,1.9,5,3,1,3,1,0,0,,0,2,1,1,0,5,0,0
Bryan Mbeumo,FW,Cameroon,23-126,1999,2.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Bryan Oviedo,DF,Costa Rica,32-296,1990,2.9,6,5,3,2,1,4,6,66.7,2,3,1,2,3,9,7,0
Bryan Ruiz,MF,Costa Rica,37-115,1985,0.3,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0
Bukayo Saka,FW,England,21-097,2001,3.2,7,4,2,2,3,1,2,50.0,1,5,1,4,2,9,2,0
Callum Wilson,FW,England,30-287,1992,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-345,1997,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0
Carlos Gruezo,MF,Ecuador,27-236,1995,0.5,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0
Carlos Martínez,DF,Costa Rica,23-256,1999,0.5,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,1,0
Carlos Soler,MF,Spain,25-343,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Casemiro,MF,Brazil,30-291,1992,4.3,11,4,3,5,3,4,6,66.7,2,13,2,11,7,18,5,0
Celso Borges,MF,Costa Rica,34-198,1988,2.8,5,1,2,3,0,2,5,40.0,3,8,3,5,4,9,7,0
Charles De Ketelaere,FW,Belgium,21-276,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-342,1997,0.4,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Cheikhou Kouyaté,MF,Senegal,32-355,1989,0.8,0,0,0,0,0,0,0,,0,2,1,1,2,2,4,0
Cho Guesung,FW,Korea Republic,24-320,1998,3.1,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,3,0
Cho Yumin,FW,Korea Republic,26-024,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-036,1997,3.0,8,6,3,5,0,5,6,83.3,1,3,2,1,1,9,16,0
Christian Bassogog,MF,Cameroon,27-054,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Christian Eriksen,MF,Denmark,30-300,1992,3.0,1,0,0,1,0,0,0,,0,5,2,3,0,1,1,0
Christian Fassnacht,FW,Switzerland,29-030,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Christian Nørgaard,MF,Denmark,28-276,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Christian Pulisic,FW,United States,24-084,1998,3.5,2,0,0,0,2,0,1,0.0,1,2,0,2,0,2,1,0
Christopher Wooh,DF,Cameroon,21-084,2001,1.0,1,0,0,1,0,1,2,50.0,1,3,2,1,1,2,6,0
Cody Gakpo,FW,Netherlands,23-218,1999,5.0,8,2,3,2,3,3,4,75.0,1,10,1,9,3,11,6,0
Collins Fai,DF,Cameroon,30-120,1992,3.0,5,2,2,2,1,3,6,50.0,3,2,0,2,4,9,7,0
Connor Roberts,DF,Wales,27-079,1995,2.2,3,3,2,1,0,2,3,66.7,1,2,2,0,1,4,7,0
Craig Goodwin,MF,Australia,30-360,1991,2.6,4,3,1,2,1,2,5,40.0,3,3,0,3,0,4,3,0
Cristian Romero,DF,Argentina,24-228,1998,3.7,4,2,3,1,0,4,5,80.0,1,2,2,0,2,6,11,0
Cristiano Ronaldo,FW,Portugal,37-309,1985,3.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Cyle Larin,FW,Canada,27-238,1995,1.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
César Azpilicueta,DF,Spain,33-105,1989,1.5,1,0,1,0,0,0,0,,0,2,0,2,1,2,0,0
César Montes,DF,Mexico,25-290,1997,3.0,6,3,2,4,0,3,3,100.0,0,0,0,0,2,8,11,0
Daichi Kamada,FW,Japan,26-128,1996,3.6,7,3,2,4,1,3,6,50.0,3,3,0,3,0,7,3,0
Daizen Maeda,FW,Japan,25-052,1997,2.0,3,2,1,2,0,0,1,0.0,1,4,0,4,3,6,0,0
Daley Blind,DF,Netherlands,32-277,1990,4.7,14,9,6,5,3,6,9,66.7,3,6,1,5,5,19,4,0
Damian Szymański,MF,Poland,27-178,1995,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Dani Alves,DF,Brazil,39-219,1983,1.3,5,4,2,2,1,2,5,40.0,3,1,1,0,2,7,2,0
Dani Carvajal,DF,Spain,30-334,1992,1.5,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,1,0
Dani Olmo,FW,Spain,24-218,1998,4.1,5,3,0,3,2,1,2,50.0,1,5,0,5,1,6,4,0
Daniel Amartey,DF,Ghana,27-355,1994,2.8,6,4,5,1,0,2,2,100.0,0,4,3,1,3,9,12,0
Daniel Chacón,MF,Costa Rica,21-244,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Daniel James,FW,Wales,25-031,1997,1.7,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0
Daniel Kyereh,MF,Ghana,26-278,1996,0.4,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,4,0
Danilo,DF,Brazil,31-149,1991,3.1,5,2,2,2,1,2,3,66.7,1,2,1,1,3,8,5,1
Danilo Pereira,DF,Portugal,31-093,1991,1.0,2,2,1,1,0,2,2,100.0,0,1,1,0,3,5,3,1
Danny Ward,GK,Wales,29-172,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Darko Lazović,DF,Serbia,32-087,1990,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-170,1999,2.7,3,2,1,2,0,1,2,50.0,1,2,0,2,0,3,2,0
David Raum,DF,Germany,24-233,1998,2.7,6,3,4,1,1,3,6,50.0,3,10,1,9,7,13,2,0
David Wotherspoon,MF,Canada,32-329,1990,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Davy Klaassen,MF,Netherlands,29-293,1993,2.1,3,2,2,1,0,1,1,100.0,0,2,0,2,1,4,2,0
Dayot Upamecano,DF,France,24-045,1998,4.0,10,7,9,1,0,6,6,100.0,0,3,2,1,6,16,12,0
DeAndre Yedlin,DF,United States,29-155,1993,0.4,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,2,0
Declan Rice,MF,England,23-331,1999,4.6,6,5,0,5,1,0,1,0.0,1,4,3,1,11,17,5,0
Dejan Lovren,DF,Croatia,33-159,1989,5.7,7,2,5,1,1,3,5,60.0,2,5,5,0,6,13,28,0
Denis Odoi,DF,Ghana,34-198,1988,0.1,1,0,1,0,0,1,1,100.0,0,2,2,0,0,1,2,0
Denis Zakaria,MF,Switzerland,26-021,1996,0.7,0,0,0,0,0,0,0,,0,1,0,1,3,3,1,0
Denzel Dumfries,DF,Netherlands,26-237,1996,5.3,8,5,7,1,0,5,6,83.3,1,5,1,4,7,15,6,0
Devis Epassy,GK,Cameroon,29-312,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Diego Godín,DF,Uruguay,36-298,1986,1.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0
Diogo Costa,GK,Portugal,23-083,1999,5.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,1
Diogo Dalot,DF,Portugal,23-268,1999,2.9,8,6,7,1,0,8,8,100.0,0,7,2,5,2,10,1,0
Djibril Sow,MF,Switzerland,25-308,1997,2.9,2,1,0,2,0,0,1,0.0,1,0,0,0,2,4,0,0
Djorkaeff Reasco,FW,Ecuador,23-327,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dominik Livaković,GK,Croatia,27-336,1995,5.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Dries Mertens,MF,Belgium,35-219,1987,0.8,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Dušan Tadić,MF,Serbia,34-021,1988,2.9,4,2,0,4,0,2,3,66.7,1,4,1,3,1,5,0,0
Dušan Vlahović,FW,Serbia,22-317,2000,0.9,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Dylan Bronn,DF,Tunisia,27-175,1995,1.8,4,2,1,2,1,3,3,100.0,0,2,1,1,0,4,0,0
Eden Hazard,MF,Belgium,31-338,1991,1.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Ederson,GK,Brazil,29-116,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,26-240,1996,1.6,2,1,1,0,1,0,1,0.0,1,3,0,3,2,4,3,0
Edinson Cavani,FW,Uruguay,35-300,1987,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edouard Mendy,GK,Senegal,30-285,1992,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,1
Edson Álvarez,MF,Mexico,25-048,1997,1.9,3,2,2,1,0,1,3,33.3,2,1,0,1,4,7,2,0
Eduardo Camavinga,DF,France,20-031,2002,1.0,11,6,5,4,2,3,3,100.0,0,2,0,2,3,14,6,0
Ehsan Hajsafi,MF,IR Iran,32-289,1990,2.6,6,3,2,3,1,3,5,60.0,2,3,0,3,2,8,2,0
Ellyes Skhiri,MF,Tunisia,27-215,1995,3.0,10,3,4,6,0,5,7,71.4,2,2,0,2,7,17,3,0
Emiliano Martínez,GK,Argentina,30-100,1992,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Enner Valencia,FW,Ecuador,33-037,1989,2.8,2,0,0,2,0,0,1,0.0,1,3,0,3,1,3,2,0
Enzo Ebosse,DF,Cameroon,23-275,1999,1.0,4,2,4,0,0,1,1,100.0,0,1,0,1,0,4,5,0
Enzo Fernández,MF,Argentina,21-328,2001,3.9,8,6,6,1,1,3,5,60.0,2,3,1,2,3,11,6,0
Eray Cömert,DF,Switzerland,24-310,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0
Eric Dier,DF,England,28-330,1994,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-263,1989,2.8,4,2,1,3,0,1,2,50.0,1,0,0,0,1,5,1,0
Erick Gutiérrez,MF,Mexico,27-179,1995,0.5,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,1,0
Ethan Ampadu,MF,Wales,22-088,2000,2.8,4,3,1,3,0,0,1,0.0,1,9,4,5,4,8,10,0
Everton Ribeiro,MF,Brazil,33-245,1989,0.4,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Exequiel Palacios,MF,Argentina,24-067,1998,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Fabian Frei,MF,Switzerland,33-337,1989,0.3,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
Fabian Rieder,FW,Switzerland,20-298,2002,0.8,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,1,0
Fabian Schär,DF,Switzerland,30-356,1991,1.5,2,1,1,1,0,1,1,100.0,0,1,1,0,2,4,7,0
Fabinho,MF,Brazil,29-049,1993,1.0,3,2,1,2,0,2,2,100.0,0,0,0,0,1,4,2,0
Facundo Pellistri,MF,Uruguay,20-356,2001,2.0,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,2,0
Famara Diedhiou,FW,Senegal,29-361,1992,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Federico Valverde,MF,Uruguay,24-142,1998,3.0,7,4,3,4,0,5,6,83.3,1,6,0,6,5,12,1,0
Ferjani Sassi,MF,Tunisia,30-268,1992,0.5,2,0,0,2,0,1,1,100.0,0,1,0,1,1,3,0,0
Ferrán Torres,FW,Spain,22-285,2000,2.4,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Filip Kostić,DF,Serbia,30-040,1992,2.0,6,3,2,1,3,2,2,100.0,0,3,0,3,0,6,1,0
Filip Mladenović,DF,Serbia,31-118,1991,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
Filip Đuričić,MF,Serbia,30-315,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-211,2000,3.0,3,3,2,0,1,2,2,100.0,0,5,2,3,2,5,4,0
Fodé Ballo-Touré,DF,Senegal,25-342,1997,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Fran Karačić,DF,Australia,26-213,1996,1.0,2,1,2,0,0,1,1,100.0,0,2,1,1,2,4,3,0
Francisco Calvo,DF,Costa Rica,30-156,1992,2.0,7,4,6,1,0,4,7,57.1,3,3,1,2,2,9,2,0
Fred,MF,Brazil,29-281,1993,1.6,3,3,1,1,1,1,2,50.0,1,1,1,0,0,3,3,0
Frenkie de Jong,MF,Netherlands,25-213,1997,5.3,12,5,4,5,3,1,3,33.3,2,6,3,3,6,18,3,0
Félix Torres Caicedo,DF,Ecuador,25-334,1997,3.0,2,2,2,0,0,2,3,66.7,1,3,2,1,4,6,10,0
Gabriel Jesus,FW,Brazil,25-252,1997,1.0,2,1,0,1,1,0,0,,0,0,0,0,2,4,0,0
Garang Kuol,FW,Australia,18-087,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Gareth Bale,FW,Wales,33-148,1989,2.5,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,1,0
Gavi,MF,Spain,18-128,2004,3.2,8,4,1,7,0,2,5,40.0,3,3,0,3,1,9,2,0
Gaël Ondoua,MF,Cameroon,27-037,1995,0.5,2,1,0,2,0,1,1,100.0,0,1,0,1,2,4,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-301,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Germán Pezzella,DF,Argentina,31-167,1991,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gerson Torres,MF,Costa Rica,25-105,1997,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Ghaylène Chaalali,MF,Tunisia,28-286,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Gideon Mensah,DF,Ghana,24-146,1998,1.0,1,1,0,1,0,1,1,100.0,0,1,1,0,2,3,5,0
Gio Reyna,FW,United States,20-028,2002,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
